Predicted Shock Arrival Time,Difference (hrs),Confidence (%),Submitted On,Lead Time (hrs),Predicted Geomagnetic Storm Parameter(s),Method,Submitted By,CME
"2013-03-16T16:59Z(-7.0h, +7.0h)",-12.48,NA,2013-03-15T14:04Z,39.4,Max Kp Range: 6.0 - 8.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-16T20:00Z,-9.47,NA,2013-03-15T11:43Z,41.75,Max Kp Range: 5.0 - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T00:00Z,-5.47,NA,2013-03-15T23:30Z,29.97,NA,ips.gov.au ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T00:00Z,-5.47,NA,2013-03-16T00:39Z,28.82,NA,HAFv.3,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T01:00Z,-4.47,NA,2013-03-15T13:00Z,40.47,Dst min. in nT: -139 Dst min. time: 2013-03-17T11:00Z ,Anemomilos ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T06:51Z,1.38,NA,NA,NA,Max Kp Range: 5.5 - 7.0, Average of all Methods ,Auto Generated (CCMC),2013-03-15T065400-CME-001
2013-03-17T09:00Z,3.53,NA,2013-03-16T01:26Z,28.03,NA, ESA ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T10:46Z,5.3,NA,2013-03-16T10:41Z,18.78,NA,DBM ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-17T15:00Z,9.53,NA,2013-03-16T12:29Z,16.98,Max Kp Range: -- - 7.0,BHV ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-03-18T13:00Z,31.53,NA,2013-03-15T13:19Z,40.15,NA,SIDC ,Leila Mays (GSFC),2013-03-15T065400-CME-001
2013-04-12T10:00Z,-36.2,NA,2013-04-11T16:20Z,53.87,Dst min. in nT: -143 Dst min. time: 2013-04-12T20:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-04-11T073600-CME-001
2013-04-12T21:29Z,-24.72,NA,2013-04-11T20:18Z,49.9,NA, STOA ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-13T00:40Z,-21.53,NA,2013-04-11T09:42Z,60.5,NA, ESA ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-13T01:00Z,-21.2,NA,2013-04-12T18:26Z,27.77,Dst min. in nT: -151 Dst min. time: 2013-04-13T11:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-04-11T073600-CME-001
"2013-04-13T05:57Z(-7.0h, +7.0h)",-16.25,NA,2013-04-11T16:00Z,54.2,Max Kp Range: 6.0 - 8.0,WEC (GSFC SWRC) ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-13T06:00Z,-16.2,NA,2013-04-11T11:30Z,58.7,Max Kp Range: -- - 7.0,SIDC ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-13T10:00Z,-12.2,NA,2013-04-13T08:28Z,13.73,Dst min. in nT: -139 Dst min. time: 2013-04-13T22:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-04-11T073600-CME-001
2013-04-13T10:33Z,-11.65,NA,NA,NA,Max Kp Range: 5.5 - 7.0825, Average of all Methods ,Auto Generated (CCMC),2013-04-11T073600-CME-001
2013-04-13T20:00Z,-2.2,NA,2013-04-11T13:38Z,56.57,Max Kp Range: 5.0 - 6.0,WEC (NOAA/SWPC) ,Leila Mays (GSFC),2013-04-11T073600-CME-001
2013-04-13T22:00Z,-0.2,NA,2013-04-13T18:35Z,3.62,Dst min. in nT: -148 Dst min. time: 2013-04-14T08:00Z ,Anemomilos ,WKent Tobiska (SET SWD),2013-04-11T073600-CME-001
2013-04-14T00:00Z,1.8,NA,2013-04-13T04:31Z,17.68,NA, HAFv2w ,Leila Mays (GSFC),2013-04-11T073600-CME-001
